ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Humbert U.,55,20,902,1765,,,,,,,,,,,0,0,Walkover,2.5,1.53,2.59,1.56,2.6,1.56,2.54,1.5
1,Brisbane,Brisbane International,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Altmaier D.,14,56,2570,891,6,1,6,2,,,,,,,2,0,Completed,1.14,5.5,1.13,7.16,1.15,7.16,1.13,5.83
1,Brisbane,Brisbane International,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Kubler J.,672,102,45,631,6,1,6,2,,,,,,,2,0,Completed,1.14,5.5,1.17,5.93,1.18,5.93,1.15,5.22
1,Brisbane,Brisbane International,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Safiullin R.,Arnaldi M.,39,44,1122,1021,7,6,6,2,,,,,,,2,0,Completed,1.36,3.2,1.42,3.13,1.44,3.2,1.39,2.96
1,Brisbane,Brisbane International,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Rune H.,Duckworth J.,8,116,3660,573,6,2,7,6,,,,,,,2,0,Completed,1.17,5,1.18,5.7,1.22,5.7,1.16,5.04
1,Brisbane,Brisbane International,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Hijikata R.,14,71,2570,744,6,1,6,4,,,,,,,2,0,Completed,1.13,6,1.13,7.11,1.14,7.13,1.13,5.88
1,Brisbane,Brisbane International,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Thompson J.,Nadal R.,55,672,902,45,5,7,7,6,6,3,,,,,2,1,Completed,6,1.13,6.62,1.18,6.62,1.18,5.54,1.14
1,Brisbane,Brisbane International,06/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Rune H.,Safiullin R.,8,39,3660,1122,6,4,7,6,,,,,,,2,0,Completed,1.57,2.38,1.63,2.43,1.63,2.63,1.56,2.4
1,Brisbane,Brisbane International,06/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Thompson J.,14,55,2570,902,6,3,7,5,,,,,,,2,0,Completed,1.22,4.33,1.26,4.34,1.26,4.34,1.23,4.07
1,Brisbane,Brisbane International,07/01/2024,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Rune H.,14,8,2570,3660,7,6,6,4,,,,,,,2,0,Completed,1.91,1.91,2.03,1.88,2.03,2.03,1.93,1.86
2,Hong Kong,Hong Kong Tennis Open,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Djere L.,183,33,335,1285,6,7,6,3,7,6,,,,,2,1,Completed,2.3,1.62,2.07,1.83,2.3,1.83,2.13,1.7
2,Hong Kong,Hong Kong Tennis Open,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Borges N.,67,66,791,799,6,2,6,4,,,,,,,2,0,Completed,2,1.8,2.01,1.88,2.03,1.85,1.97,1.81
2,Hong Kong,Hong Kong Tennis Open,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Bonzi B.,69,73,771,738,6,7,6,2,6,1,,,,,2,1,Completed,1.62,2.3,1.58,2.53,1.6,2.6,1.55,2.38
2,Hong Kong,Hong Kong Tennis Open,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Mochizuki S.,50,137,930,457,7,5,6,1,,,,,,,2,0,Completed,1.3,3.5,1.28,4.06,1.33,4.06,1.3,3.48
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Daniel T.,54,75,905,737,6,3,6,2,,,,,,,2,0,Completed,1.57,2.38,1.56,2.57,1.67,2.57,1.55,2.41
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Broady L.,Cachin P.,108,70,608,763,6,4,6,0,,,,,,,2,0,Completed,1.36,3.2,1.42,3.06,1.42,3.2,1.37,3.03
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Mcdonald M.,43,41,1048,1055,6,1,6,2,,,,,,,2,0,Completed,2.75,1.44,2.72,1.51,2.78,1.51,2.66,1.46
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Cilic M.,25,674,1522,45,3,6,7,6,7,6,,,,,2,1,Completed,1.53,2.5,1.6,2.47,1.9,2.6,1.56,2.41
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,,,,,,,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Huesler M.A.,Sachko V.,194,169,312,360,6,4,6,4,,,,,,,2,0,Completed,1.53,2.5,1.53,2.67,1.55,2.67,1.51,2.51
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gojo B.,36,72,1158,744,6,3,4,6,6,1,,,,,2,1,Completed,1.53,2.5,1.6,2.47,1.6,2.51,1.54,2.42
2,Hong Kong,Hong Kong Tennis Open,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Musetti L.,Wong C.,27,253,1470,238,6,4,7,5,,,,,,,2,0,Completed,1.2,4.5,1.24,4.45,1.24,4.65,1.2,4.35
2,Hong Kong,Hong Kong Tennis Open,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Van De Zandschulp B.,183,50,335,930,6,7,7,6,7,6,,,,,2,1,Completed,2.3,1.62,2.6,1.55,2.6,1.65,2.37,1.57
2,Hong Kong,Hong Kong Tennis Open,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Kecmanovic M.,16,54,2310,905,6,3,7,6,,,,,,,2,0,Completed,1.8,2,1.82,2.08,1.91,2.1,1.79,2
2,Hong Kong,Hong Kong Tennis Open,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Ruusuvuori E.,Khachanov K.,69,15,771,2520,7,6,2,6,6,2,,,,,2,1,Completed,2.2,1.67,2.32,1.68,2.32,1.68,2.25,1.62
2,Hong Kong,Hong Kong Tennis Open,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Kotov P.,Musetti L.,67,27,791,1470,6,4,6,3,,,,,,,2,0,Completed,2.1,1.73,2.37,1.65,2.37,1.75,2.17,1.67
2,Hong Kong,Hong Kong Tennis Open,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Ofner S.,Struff J.L.,43,25,1048,1522,6,7,7,6,7,6,,,,,2,1,Completed,2.2,1.67,2.14,1.79,2.25,1.82,2.09,1.73
2,Hong Kong,Hong Kong Tennis Open,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Cerundolo F.,57,21,886,1760,7,5,6,3,,,,,,,2,0,Completed,1.4,3,1.47,2.9,1.47,3.2,1.41,2.85
2,Hong Kong,Hong Kong Tennis Open,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Huesler M.A.,36,194,1158,312,7,5,7,5,,,,,,,2,0,Completed,1.4,3,1.44,3.02,1.46,3.05,1.4,2.91
2,Hong Kong,Hong Kong Tennis Open,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Broady L.,5,108,4805,608,6,4,7,6,,,,,,,2,0,Completed,1.08,8,1.11,7.85,1.11,8.01,1.09,7.05
2,Hong Kong,Hong Kong Tennis Open,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Ruusuvuori E.,Kotov P.,69,67,771,791,6,3,7,6,,,,,,,2,0,Completed,1.57,2.38,1.64,2.42,1.7,2.42,1.6,2.29
2,Hong Kong,Hong Kong Tennis Open,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Ofner S.,Bautista Agut R.,43,57,1048,886,6,4,6,4,,,,,,,2,0,Completed,3.2,1.36,2.85,1.48,3.2,1.48,2.83,1.42
2,Hong Kong,Hong Kong Tennis Open,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Shang J.,Tiafoe F.,183,16,335,2310,6,4,6,4,,,,,,,2,0,Completed,3.75,1.29,3.7,1.33,3.85,1.33,3.51,1.29
2,Hong Kong,Hong Kong Tennis Open,05/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Fils A.,5,36,4805,1158,6,4,1,6,6,2,,,,,2,1,Completed,1.3,3.5,1.32,3.71,1.32,3.83,1.29,3.54
2,Hong Kong,Hong Kong Tennis Open,06/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Ruusuvuori E.,Ofner S.,69,43,771,1048,4,6,7,5,6,3,,,,,2,1,Completed,1.57,2.38,1.67,2.35,1.67,2.4,1.62,2.28
2,Hong Kong,Hong Kong Tennis Open,06/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Shang J.,5,183,4805,335,4,6,6,2,6,3,,,,,2,1,Completed,1.14,5.5,1.18,5.78,1.18,5.78,1.15,5.27
2,Hong Kong,Hong Kong Tennis Open,07/01/2024,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Ruusuvuori E.,5,69,4805,771,6,4,6,4,,,,,,,2,0,Completed,1.25,4,1.34,3.56,1.34,4.01,1.29,3.59
3,Adelaide,Adelaide International,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Baez S.,62,26,836,1435,6,1,6,3,,,,,,,2,0,Completed,1.17,5,1.2,5.07,1.22,5.07,1.2,4.46
3,Adelaide,Adelaide International,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,,,,,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15
3,Adelaide,Adelaide International,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,,,,,,,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43
3,Adelaide,Adelaide International,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Kokkinakis T.,52,68,914,792,3,6,6,1,6,4,,,,,2,1,Completed,2.75,1.44,2.69,1.52,2.75,1.54,2.59,1.48
3,Adelaide,Adelaide International,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Zapata Miralles B.,41,77,1062,715,6,4,6,3,,,,,,,2,0,Completed,1.13,6,1.17,5.65,1.17,6,1.15,5.29
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,71,97,780,626,6,4,6,4,,,,,,,2,0,Completed,2.1,1.73,2.1,1.81,2.1,1.81,2.06,1.75
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,159,714,6,3,6,2,,,,,,,2,0,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Diaz Acosta F.,47,93,982,655,6,2,6,2,,,,,,,2,0,Completed,1.2,4.5,1.22,4.76,1.28,4.76,1.22,4.25
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Hanfmann Y.,46,49,990,929,7,5,2,6,7,6,,,,,2,1,Completed,1.62,2.3,1.5,2.75,1.63,2.75,1.56,2.41
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Walton A.,32,176,1337,348,6,1,6,3,,,,,,,2,0,Completed,1.3,3.5,1.35,3.43,1.35,3.75,1.31,3.37
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mccabe J.,31,278,1369,207,6,2,6,3,,,,,,,2,0,Completed,1.3,3.5,1.29,3.97,1.35,4.07,1.28,3.6
3,Adelaide,Adelaide International,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,,,,,,,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,O Connell C.,Shevchenko A.,71,48,780,961,6,3,6,1,,,,,,,2,0,Completed,2.3,1.62,2.13,1.8,2.32,1.8,2.13,1.71
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Arnaldi M.,18,41,1830,1062,6,7,7,6,6,4,,,,,2,1,Completed,1.73,2.1,1.81,2.13,1.84,2.13,1.77,2.03
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Draper J.,Kecmanovic M.,62,55,836,910,5,7,7,6,7,6,,,,,2,1,Completed,1.44,2.75,1.48,2.86,1.5,2.86,1.44,2.73
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Sonego L.,29,46,1380,990,6,4,7,6,,,,,,,2,0,Completed,1.57,2.38,1.6,2.5,1.63,2.5,1.57,2.37
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Bolt A.,14,325,2665,159,6,3,6,2,,,,,,,2,0,Completed,1.25,4,1.3,3.94,1.3,4.25,1.26,3.8
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Lehecka J.,Lajovic D.,32,52,1337,914,7,5,4,6,6,3,,,,,2,1,Completed,1.4,3,1.47,2.9,1.49,3,1.44,2.73
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Evans D.,31,40,1369,1096,4,6,6,2,6,1,,,,,2,1,Completed,1.8,2,1.95,1.95,1.95,2.1,1.85,1.94
3,Adelaide,Adelaide International,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Thompson J.,25,47,1435,982,6,4,6,1,,,,,,,2,0,Completed,2.38,1.57,2.49,1.61,2.49,1.63,2.33,1.59
3,Adelaide,Adelaide International,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,O Connell C.,29,71,1380,780,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.47,2.92,1.47,3.2,1.4,2.92
3,Adelaide,Adelaide International,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Jarry N.,32,18,1337,1830,6,4,7,5,,,,,,,2,0,Completed,2,1.8,2.05,1.87,2.2,1.87,2.04,1.76
3,Adelaide,Adelaide International,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Musetti L.,31,25,1369,1435,6,3,6,7,7,5,,,,,2,1,Completed,1.91,1.91,1.99,1.92,1.99,2,1.9,1.89
3,Adelaide,Adelaide International,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Draper J.,Paul T.,62,14,836,2665,6,1,6,4,,,,,,,2,0,Completed,2.2,1.67,2.09,1.83,2.26,1.83,2.16,1.69
3,Adelaide,Adelaide International,12/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Lehecka J.,Korda S.,32,29,1337,1380,6,2,6,1,,,,,,,2,0,Completed,2.5,1.53,2.48,1.61,2.5,1.61,2.39,1.57
3,Adelaide,Adelaide International,12/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Draper J.,Bublik A.,62,31,836,1369,7,6,6,4,,,,,,,2,0,Completed,1.44,2.75,1.46,2.96,1.48,2.99,1.44,2.77
3,Adelaide,Adelaide International,13/01/2024,ATP250,Outdoor,Hard,The Final,3,Lehecka J.,Draper J.,32,62,1337,836,4,6,6,4,6,3,,,,,2,1,Completed,2.3,1.62,2.45,1.63,2.45,1.63,2.32,1.6
4,Auckland,ASB Classic,07/01/2024,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Giron M.,57,60,906,860,7,6,6,2,,,,,,,2,0,Completed,2.63,1.5,2.46,1.61,2.63,1.61,2.49,1.52
4,Auckland,ASB Classic,07/01/2024,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63,739,835,7,5,7,5,,,,,,,2,0,Completed,1.73,2.1,1.74,2.21,1.84,2.6,1.72,2.1
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Van Assche L.,Wolf J.J.,87,54,687,910,6,4,6,2,,,,,,,2,0,Completed,2.3,1.62,2.21,1.74,2.3,1.74,2.19,1.66
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Gojo B.,82,91,707,664,1,6,6,3,6,2,,,,,2,1,Completed,2.63,1.5,2.52,1.58,2.63,1.58,2.47,1.53
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,,,,,,,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Bonzi B.,79,110,711,588,6,3,7,5,,,,,,,2,0,Completed,2,1.8,2.02,1.88,2.1,1.88,1.97,1.82
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Michelsen A.,66,92,799,659,0,6,7,6,6,3,,,,,2,1,Completed,2.75,1.44,2.74,1.51,2.8,1.51,2.64,1.47
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Monfils G.,65,75,805,737,6,4,6,7,7,6,,,,,2,1,Completed,2.5,1.53,2.59,1.56,2.65,1.56,2.53,1.51
4,Auckland,ASB Classic,08/01/2024,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Bautista Agut R.,67,51,796,916,6,4,6,3,,,,,,,2,0,Completed,6,1.13,6.1,1.16,6.1,1.17,5.55,1.14
4,Auckland,ASB Classic,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116,1132,560,6,4,6,2,,,,,,,2,0,Completed,1.8,2,1.94,1.94,1.94,2.36,1.8,1.99
4,Auckland,ASB Classic,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Pannu K.,45,716,1006,37,6,4,6,4,,,,,,,2,0,Completed,1.04,13,1.06,12.27,1.07,13,1.04,10.18
4,Auckland,ASB Classic,09/01/2024,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gasquet R.,35,76,1208,735,6,3,6,4,,,,,,,2,0,Completed,1.33,3.4,1.35,3.48,1.4,3.5,1.34,3.19
4,Auckland,ASB Classic,09/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Cerundolo F.,79,22,711,1760,6,1,6,1,,,,,,,2,0,Completed,2.38,1.57,2.24,1.74,2.4,1.75,2.23,1.64
4,Auckland,ASB Classic,09/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Altmaier D.,Auger-Aliassime F.,57,27,906,1425,7,6,7,5,,,,,,,2,0,Completed,3,1.4,3.2,1.41,3.2,1.42,2.96,1.39
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Daniel T.,Purcell M.,74,45,739,1006,6,2,6,4,,,,,,,2,0,Completed,2.2,1.67,2.22,1.74,2.25,1.74,2.15,1.68
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Marozsan F.,16,65,2145,805,6,3,6,4,,,,,,,2,0,Completed,1.44,2.75,1.5,2.79,1.53,2.88,1.46,2.69
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Carballes Baena R.,Ofner S.,67,37,796,1132,7,5,6,3,,,,,,,2,0,Completed,3.5,1.3,3.35,1.38,3.6,1.38,3.33,1.32
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Borges N.,35,66,1208,799,6,2,6,0,,,,,,,2,0,Completed,1.25,4,1.27,4.23,1.3,4.23,1.26,3.75
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Tabilo A.,Van De Zandschulp B.,82,59,707,865,7,5,6,3,,,,,,,2,0,Completed,2.75,1.44,2.8,1.5,2.8,1.5,2.71,1.45
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Van Assche L.,19,87,1810,687,6,3,6,7,6,1,,,,,2,1,Completed,1.4,3,1.41,3.15,1.44,3.15,1.4,2.91
4,Auckland,ASB Classic,10/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Daniel T.,Muller A.,74,79,739,711,6,4,6,7,6,3,,,,,2,1,Completed,1.91,1.91,1.91,2,2.03,2.04,1.86,1.93
4,Auckland,ASB Classic,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Shelton B.,Carballes Baena R.,16,67,2145,796,6,4,6,3,,,,,,,2,0,Completed,1.17,5,1.18,5.69,1.21,5.69,1.17,5
4,Auckland,ASB Classic,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Tabilo A.,Norrie C.,82,19,707,1810,,,,,,,,,,,,,Walkover,3.4,1.33,3.27,1.39,3.5,1.39,3.26,1.33
4,Auckland,ASB Classic,11/01/2024,ATP250,Outdoor,Hard,Quarterfinals,3,Fils A.,Altmaier D.,35,57,1208,906,7,6,1,0,,,,,,,1,0,Retired,1.29,3.75,1.31,3.83,1.31,3.85,1.29,3.6
4,Auckland,ASB Classic,12/01/2024,ATP250,Outdoor,Hard,Semifinals,3,Daniel T.,Shelton B.,74,16,739,2145,7,5,7,6,,,,,,,2,0,Completed,4.33,1.22,4.39,1.26,4.46,1.28,4.02,1.24
